T_grid,J_defender_dev,lambda_grid,K_attacker_dev,T_star,lambda_star
2.0,14.08441277464922,0.1,0.03836343936168297,19.77290198072369,0.6145052294993069
2.391959798994975,11.82194063472498,0.1035175879396985,0.0394327381765587,19.77290198072369,0.6145052294993069
2.7839195979899496,10.205360836196723,0.107035175879397,0.04048865362914865,19.77290198072369,0.6145052294993069
3.1758793969849246,8.996931379934592,0.11055276381909548,0.041531344744123365,19.77290198072369,0.6145052294993069
3.567839195979899,8.060176465425359,0.11407035175879397,0.04256096673298518,19.77290198072369,0.6145052294993069
3.959798994974874,7.316223907556298,0.11758793969849246,0.04357767193281602,19.77290198072369,0.6145052294993069
4.351758793969849,6.71096547850694,0.12110552763819096,0.04458161048313922,19.77290198072369,0.6145052294993069
4.743718592964823,6.211301472900176,0.12462311557788945,0.04557293079220788,19.77290198072369,0.6145052294993069
5.135678391959798,5.792812323597419,0.12814070351758794,0.04655177983583151,19.77290198072369,0.6145052294993069
5.527638190954773,5.438218458036948,0.13165829145728644,0.047518303324840964,19.77290198072369,0.6145052294993069
5.919597989949748,5.133135291149936,0.13517587939698494,0.04847264577128825,19.77290198072369,0.6145052294993069
6.311557788944723,4.87061879149383,0.13869346733668342,0.049414950478343274,19.77290198072369,0.6145052294993069
6.703517587939698,4.642906885180797,0.14221105527638192,0.0503453594744584,19.77290198072369,0.6145052294993069
7.0954773869346734,4.442479539999892,0.14572864321608042,0.0512640134086271,19.77290198072369,0.6145052294993069
7.487437185929648,4.266093860961515,0.1492462311557789,0.05217105142037794,19.77290198072369,0.6145052294993069
7.879396984924623,4.110932826275867,0.1527638190954774,0.05306661099544417,19.77290198072369,0.6145052294993069
8.271356783919597,3.9782036790758335,0.1562814070351759,0.05395082781576899,19.77290198072369,0.6145052294993069
8.663316582914572,3.8564657379503853,0.15979899497487438,0.054823835610589886,19.77290198072369,0.6145052294993069
9.055276381909547,3.7465784191345026,0.16331658291457288,0.05568428781720301,19.77290198072369,0.6145052294993069
9.447236180904522,3.649084123603174,0.16683417085427138,0.056530437908291015,19.77290198072369,0.6145052294993069
9.839195979899497,3.559105466110472,0.17035175879396985,0.05736512413090816,19.77290198072369,0.6145052294993069
10.231155778894472,3.479728077733233,0.17386934673366836,0.05818844098438462,19.77290198072369,0.6145052294993069
10.623115577889447,3.408946834182494,0.17738693467336686,0.05900048157797232,19.77290198072369,0.6145052294993069
11.015075376884422,3.3448888587861356,0.18090452261306533,0.059801337651712645,19.77290198072369,0.6145052294993069
11.407035175879397,3.286891485709115,0.18442211055276383,0.06059109960400066,19.77290198072369,0.6145052294993069
11.798994974874372,3.2351563270028723,0.18793969849246234,0.06136985652558778,19.77290198072369,0.6145052294993069
12.190954773869347,3.1880434512027107,0.1914572864321608,0.062137696239541136,19.77290198072369,0.6145052294993069
12.58291457286432,3.147301290438716,0.19497487437185929,0.06289470534651961,19.77290198072369,0.6145052294993069
12.974874371859295,3.10801873438023,0.19849246231155782,0.06364096927462631,19.77290198072369,0.6145052294993069
13.36683417085427,3.073391934528224,0.2020100502512563,0.06437541045938415,19.77290198072369,0.6145052294993069
13.758793969849245,3.0408035206777866,0.20552763819095476,0.06509634377521183,19.77290198072369,0.6145052294993069
14.15075376884422,3.015280764214134,0.2090452261306533,0.06579812770182644,19.77290198072369,0.6145052294993069
14.542713567839195,2.9899770948403677,0.21256281407035177,0.06649020588161256,19.77290198072369,0.6145052294993069
14.93467336683417,2.9686815624373284,0.21608040201005024,0.06717263089395706,19.77290198072369,0.6145052294993069
15.326633165829145,2.949514726276992,0.21959798994974877,0.06784545530336578,19.77290198072369,0.6145052294993069
15.71859296482412,2.9311390858272994,0.22311557788944725,0.06850873171447383,19.77290198072369,0.6145052294993069
16.110552763819094,2.9174838369712455,0.22663316582914575,0.06916251282268686,19.77290198072369,0.6145052294993069
16.50251256281407,2.905073801043813,0.23015075376884422,0.06980685146081793,19.77290198072369,0.6145052294993069
16.894472361809044,2.8936728072895206,0.23366834170854273,0.07044180064198927,19.77290198072369,0.6145052294993069
